"daoName","publicAddress","name","ensName","status","twitterHandle","forumHandle","discordHandle","discordUsername","delegatedTokens","delegatorCount","karmaScore","forumActivityScore","forumLikesReceived","forumPostsReadCount","proposalsInitiated","proposalsDiscussed","forumTopicCount","forumPostCount","offChainVotesPct","onChainVotesPct","proposalsOnSnapshot","discordMessagesCount","discordMessagePercentile"
"ssvnetwork","0x2de670a1d8c1de83d8727295284704bb196ba117","BenAffleck","","active","batfleck9383","benaffleck","780814541394935818","ben.affleck#0",10108,1,89,96,663,2470,90,269,98,335,87,,0,763,98
"ssvnetwork","0x9933fcd422180fe81c83aed0de219c6fc4a08c15","fod","","active","","fod","517542364831678474","fod8970#0",26004,7,79,72,261,1790,6,74,8,133,80,,0,101,95
"ssvnetwork","0x0b399d2667733659f4a5fdcb030f3e26d26cc0fe","spooky.eth","spooky.eth","active","","spookyg","104283439322136576","sp00kyg#0",27862,4,67,75,137,1655,9,58,10,76,64,,0,39,82
"ssvnetwork","0xe3023dae714d827f2452442fccfdc2bcd684de13","DragonStake","","active","","derfredy","580093092934189056","derfredy#0",40000,2,57,30,,,,,,,66,,0,0,25
"ssvnetwork","0x1b1627b632f774b4b95cfe28ec03d8f9c5847f0b","0neinfra.eth","0neinfra.eth","active","","h.m.23-0neinfra","808005193899573279","h.m.23#0",35472,2,54,33,,,,,,,60,,0,9,65
"ssvnetwork","0xe1e550357dd309e360b045de0713b13066efd701","","","withdrawn","","","","",30000,1,52,,,,,,,,69,0,0,,
"ssvnetwork","0xc799be8de03f20b2d3b101e6f6516d614e6ffe06","Hayhouse Projects LLC","hackworth.eth","active","","hackworth","135149114609369088","hackworth.eth#0",10601,3,52,24,60,774,0,31,1,39,60,,0,3,53
"ssvnetwork","0x8b529ef78046008f9d1fbc91c7407030de96ee32","Marc | Blockshard","blockshard.eth","withdrawn","","bumpytale","404217698675982336","marc_blockshard#0",0,0,49,59,70,852,6,33,6,35,45,,0,45,88
"ssvnetwork","0xfb6141dfe88540450b2b3e5c1a64944c4325b6d9","LinkoPlus | AXBLOX","","active","","axblox","830495378314756107","linkoplus#0",30005,3,45,62,195,984,2,98,6,131,39,,0,18,72
"ssvnetwork","0x32ebaf9ea4063d911222407838e15e3a5027a638","markoInEther","","active","","markoinether","684383986046468117","markoinether#0",40002,5,39,79,57,522,12,22,14,25,27,,0,3,53
"ssvnetwork","0x8f8c3b3d99a2cd1d4ca8aa1a386b743510436b16","flo","","active","","flo","776535637167439872","fm.heigl#0",35400,2,37,39,,,,,,,37,,0,0,25
"ssvnetwork","0x44e50757ad63558cf5281bb4da7997bcf5118e33","Taiga","","active","","taiga","690094174292148285","zktaiga#0",25690,0,35,71,54,1222,11,11,11,14,22,,0,73,92
"ssvnetwork","0x3ea44328b48a027a5e7ada15c193cbc388268786","vethd | monitorssv","","active","","monitorssv","1184329060411785219","vethd.#0",6001,1,34,57,41,575,3,24,3,31,26,,0,20,78
"ssvnetwork","0xefe28ba8c9bb3438f92f75be0acd078182c61231","Yorick","","withdrawn","","","219015859182632960","yorickdowne#0",0,0,33,85,,,,,,,15,0,0,65,88
"ssvnetwork","0x33798b4f75e9726955708c272a4e764ea29476b7","yuting","","active","","yuting","847829334927474708","yutingttm#0",5000,2,32,32,152,1017,0,52,3,70,30,,0,19,75
"ssvnetwork","0x9fb67dea6c6f9f0e35c3ebe61afda0cfd9a332c3","Stakewith.us","","active","","","","",30000,2,31,0,,,,,,,41,,0,,
"ssvnetwork","0x6210477b3025bf5ea50a35d39e7d2875dc11661c","","noah.savedsouls.eth","active","","gbeast","761106352549527553","gbeast.eth#0",4410,3,27,37,36,382,1,12,2,24,22,,0,45,85
"ssvnetwork","0x833982274afc3909f0fff48e92546ec21ae5ad6b","Ebunker","","active","","damon","673526781357195315","lenard_feng#0",10000,1,26,36,,,,,,,23,,0,0,25
"ssvnetwork","0x269ebeee083ce6f70486a67dc8036a889bf322a9","ThomasBlock","thomasblock.eth","withdrawn","","thomasblock","456607718187335680","thomasblock#0",5009,2,26,39,,,,,,,21,,0,6,64
"ssvnetwork","0x404f9fa7e8c6b911f6dc3bb32f103a77deb8dda7","","","active","","","","",30000,1,26,0,,,,,,,34,,0,,
"ssvnetwork","0x58b1b454dbe5156acc8fc2139e7238451b59f432","LemmaGov","lemmagovernance.eth","active","","lemmagov","416222591330549770","hugonomics#0",147832,1,25,36,,,,,,,22,,0,0,25
"ssvnetwork","0x7ddee51c8375399127b18a0333f80292c3fb6486","llifezou","","active","","llifezou","935478899998089226","llifezou#0",5000,1,25,37,,,,,,,22,,0,0,25
"ssvnetwork","0xa32d07ad5c398599636867439a4bcaef119351ab","Sigma Prime","","active","","sigmaprime","","",10000,1,24,30,,,,,,,23,,0,,
"ssvnetwork","0xf389dd1f828525b449d63d14157f2d3a25ee0a41","","cvjoint.eth","active","","","","",35011,4,23,0,,,,,,,31,,0,,
"ssvnetwork","0xf2659cc196829c6676b1e0e1a71a8797cec6778a","HashKey Cloud","","active","","hashkeygov","","",13008,1,21,0,,,,,,,28,,0,,
"ssvnetwork","0x51092a250891637d036e4617a1e38a70309fedcb","","","active","","kbc","","",30004,2,20,41,,,,,,,15,,0,,
"ssvnetwork","0xd4b06a0bec0bd015027e2ca7d30367fab60a1a8e","","","active","","","","",0,0,20,0,,,,,,,26,0,0,,
"ssvnetwork","0x26b0bb09478a8423b53b2854deffb8a61a889725","EthernodesGov","","active","","ethernodes","977282820806434879","alphanodesalphagrowth#0",10798,1,19,0,,,,,,,24,,0,0,25
"ssvnetwork","0x13e2926facd4e56a8f4412a945ea038f62de22a5","","","active","","","","",0,0,19,0,,,,,,,25,0,0,,
"ssvnetwork","0x1339e13f50251bc9567ee9b315a8ecf4cd8af4e6","","","active","","","","",1,0,19,0,,,,,,,25,,0,,
"ssvnetwork","0x17fe4ed21e35b5ad800179b0c20447ca3f5280db","","11144.eth","active","","","","",0,0,19,0,,,,,,,25,0,0,,
"ssvnetwork","0x45c127bbbb590d99d0f35a80762ddf03f55d089b","","pepebills.eth","active","","","","",0,0,17,0,,,,,,,22,0,0,,
"ssvnetwork","0x0b7455fed54daba688871b285c6c245c5b95bffa","","","active","","","","",25000,1,17,0,,,,,,,22,,0,,
"ssvnetwork","0x261f436676cfa456a8f086a850160e97550aea9c","","admiral.savedsouls.eth","active","","","","",0,0,17,0,,,,,,,23,,0,,
"ssvnetwork","0xfa08c782a435f713cb0fd6d5836b7525b36372f0","ChainUp","","active","","chainupgov","","",18397,1,16,0,,,,,,,21,,0,,
"ssvnetwork","0xe6b6e280a41ddbdb19543e29cad4088a11ddf6b8","","","active","","","","",15000,1,16,0,,,,,,,21,,0,,
"ssvnetwork","0x872da650d6d727b87e56d8e46f62228a27f94b3d","","","active","","","","",2513,0,15,0,,,,,,,20,,0,,
"ssvnetwork","0x5bca305df5b8446546224d7e548ef4e681eacfc9","","btcdot.eth","active","","","","",0,0,15,0,,,,,,,20,0,0,,
"ssvnetwork","0xa4ab16a28a8567bb7e51d536f151f8bac1d3b464","SSVHodler","","active","","","","",0,0,15,0,,,,,,,20,,0,,
"ssvnetwork","0xf89e388d02635f2a9b8ab567618940829bd9af07","","nudities.eth","active","","","","",0,0,15,0,,,,,,,20,0,0,,
"ssvnetwork","0x425a9d0d5955cb82d77fda64d01561dd960e7e9f","RockX","","active","","","","",0,0,15,0,,,,,,,20,0,0,,
"ssvnetwork","0x952c23f8f067a5e7e165ff0e42491f51d87dbc95","","maoyan.eth","active","pokl888","","","",0,0,15,0,,,,,,,20,,0,,
"ssvnetwork","0xae4494eea1265fbb7e4be2ccba2bd28a6a8da167","","","active","","","","",0,0,14,0,,,,,,,19,0,0,,
"ssvnetwork","0xffdcabffb9ec425fd0b469ef626c844cb68670e8","","","active","","","","",0,0,14,0,,,,,,,19,0,0,,
"ssvnetwork","0xb693ef9c104dc956c9a1766361970cd9f1eeb013","","","active","","","","",0,0,13,0,,,,,,,17,,0,,
"ssvnetwork","0xc483287d7e6d2d5427444b7b5690794d5c886c27","","tehllama.eth","active","","","","",0,0,13,0,,,,,,,17,0,0,,
"ssvnetwork","0x3a409eff50a47aeef294e3f0bb3874490dd99abc","","ccdefi.eth","active","","","","",0,0,13,0,,,,,,,17,,0,,
"ssvnetwork","0x26036ede308c90987cb29a20b713c93e07db73c5","","","active","","","","",0,0,13,0,,,,,,,17,0,0,,
"ssvnetwork","0xe4a1319048c3a3873da557a289817276aac96296","","","active","","","","",41015,0,13,0,,,,,,,17,,0,,
"ssvnetwork","0x55c5d95237d4cb2950b1a8bddf5fa57908bc7bcc","","jasoneth.eth","active","","","","",0,0,13,0,,,,,,,17,0,0,,
"ssvnetwork","0x2d500166d5422c9b9db58320d3174c931f280a6d","","","active","","","","",0,0,13,0,,,,,,,17,,0,,
"ssvnetwork","0x67e02be3d70acc00e322a8995e9298741d502a6e","Blockside","","active","","blockside","1070971216573239296","blockside#0",5000,2,12,30,,,,,,,6,,0,0,25
"ssvnetwork","0xb07ffa5bda695e6214a4e7d95b32a942b1d16c65","","","active","","","","",0,0,12,0,,,,,,,16,0,0,,
